【人生最美的是淡然】淡淡的哀愁千丝万缕，淡淡的思念绵长浓厚，淡淡的牵挂悠远永久，淡淡的寂寞独品生命中的无奈，淡淡的红尘，淡淡的岁月，淡淡地欣赏旅途中的风光，淡淡地享受着自己所拥有的，淡淡地应对人生中的风风雨雨……淡淡地对待一切.一切，自然就风轻云淡了，因为淡淡的，所以我快乐着。 
一对夫妇欲探试儿子将来从业动向，就在客厅桌上放置一本圣经(宗教)、一张10美元(从商)和一瓶酒(社会)，躲在门后窥视。 儿子回家，发现桌上物品，环顾四周确认无人后，装上美元，夹上圣经，拎起酒瓶，若无其事般径直走入他的房间。 夫妇惊叹：妈呀，他将来要从政 
如果你心里有一种渴望那必然是因为你对现实的不满意，如果你想要渡河到对岸那必然是因为河的这以一边不够美丽。 
12岁的澳洲小朋友克拉克，骑车送报时结识了小女孩琼，两人长大后相爱结婚。62年过去，琼患上了老年失忆症，甚至不认识相濡以沫的丈夫，只记得少女时代的青涩往事。于是克拉克老头蹬起自行车，成为了澳洲年纪最老的送报人。9旬老翁、让爱妻仍然生活在小女孩时代的甜蜜梦境中。 
【求助】刚才外出办事回单位，看到一女同事带几个月的孩子。于是想过去逗逗，看到孩子正好在吃奶。本来想夸“好白的孩子啊！”一张嘴就成了“好白的奶子啊！”我现在不知道怎么回单位了，到现在还在外面站着！！！我该怎么办啊…… 
美，有时是不能采摘的。比如，早晨的露珠玲珑晶莹，一旦把它们采集下来，那珍珠般的光泽就会立刻荡然无存。美，有时是不能近观的。比如，远山如黛，美丽而且神奇，可当你真的走近了它，才发现那不过是一大堆冷漠的石头。美，有时是不能触摸的。比如，水中的月影....美感原来是一种近乎神圣的感觉。 
 你不知道的旅行 ggggg 有人说，如果你很想要一样东西，就放它走。如果它回来找你，那么它永远都是你的。要是它没有回来，那么不用再等了，因为它根本就不是你的！——《海滩》 
 你不知道的旅行 ggggg 【好女人的8条标准】1.身体发育完好，虽不娇美，却不失健康本色。2.聪明可爱，也会装疯卖傻。3.知书识礼，尊重对方。4.顺从听话，却不失个性独立。5.知足常乐，不给男人过高的要求。6.角色多变，本色依然。7.爱屋及乌，宽容博爱。8.帮助男人，成就男人。 
 工行微博惊喜大放送转发赢iPhone4S ggggg 
 工行微博惊喜大放送转发赢iPhone4S ggggg  地址： uuuuu  
i
“HelloKitty拍立得！超萌轻松熊毛毯！限量版美图公仔等你抱回家！”，这个活动推荐给大家，点击 uuuuu  进入 
“能良数码粉丝回馈 itouch4抽奖免费拿 现金红包送不停”，这个活动推荐给大家，点击 uuuuu  进入 
“ 浪漫七夕，小熊来袭 ggggg ：1.2米高泰迪熊送给心爱的TA,”，这个活动推荐给大家，点击 uuuuu  进入 
“『巴宝莉100份香水免费拿』”，这个活动推荐给大家，点击 uuuuu  进入 
“ 浪漫七夕 ggggg 10对儿情侣美图喵喵存钱罐 40只美图公仔欢乐送！”，这个活动推荐给大家，点击 uuuuu  进入 
“七夕情人节 爱要大声说出来”，这个活动推荐给大家，点击 uuuuu  进入 
“麦当劳二维码电子兑换单 双人套餐免费送/全国通用”，这个活动推荐给大家，点击 uuuuu  进入 
“ 爱在七夕 ggggg 107份大礼送给TA”，这个活动推荐给大家，点击 uuuuu  进入 
“I Do 当时我动心了 ggggg 吊坠对戒天天送 克拉美钻周周赢”，这个活动推荐给大家，点击 uuuuu  进入 
“生态行动助力中国：iPad2多多送，与陈楚生、郁可唯面对面！”，这个活动推荐给大家，点击 uuuuu   进入 
“这个夏天，莫曼顿【星座单车】牵回家啦！”，这个活动推荐给大家，点击 uuuuu   进入 
“【丈夫节送爱】轮盘转出超级大礼！ 充值卡、迷你吸尘器等你拿！”，这个活动推荐给大家，点击 uuuuu   进入 
“ 有爱在心 ggggg  有爱有IPAD”，这个活动推荐给大家，点击 uuuuu   进入 
“变形金刚在线 首测领Ipad2！”，这个活动推荐给大家，点击 uuuuu   进入 
“约TA一起去必胜客共享免费美食...”，这个活动推荐给大家，点击 uuuuu   进入 
我在“梦芭莎七夕万人送大礼,100%中奖,奢华捷克钻新娘配饰等你拿”大转盘活动中抽中四等奖：梦芭莎5元优惠券  uuuuu  
“梦芭莎七夕万人送大礼,100%中奖,奢华捷克钻新娘配饰等你拿”，这个活动推荐给大家，点击 uuuuu   进入 
“DK豪礼大派送 笔记本、psp超多好礼免费拿！”，这个活动推荐给大家，点击 uuuuu   进入 
“ 我在微电台等你 ggggg 大转盘：限量版新浪珍品等你拿”，这个活动推荐给大家，点击 uuuuu   进入 
