 微博亮了 ggggg 我已成功升级新版微博，并领取扬V耀5勋章，从此扬名立万，扬威耀武！全新微博界面，超大头图，个性化应用管理，定向发布，V5版真的很V5！快去升级跟我一起体验吧！ uuuuu  
我错色依啦嘛扎老逼 eeeee   uuuuu 
享受球球，热爱生活！ ericfeiqing又升级啦！快来和ericfeiqing一起，享受快乐足球、快乐游戏！成为传奇足球经理 uuuuu  
孤独求败啊！ 还在从好友那里获取快感吗？还在从好友那里获取快感吗？我已经连续6次胜利了！哈哈…谁来终结我的6连杀！获取快感 uuuuu  
享受球球，热爱生活！ ericfeiqing又升级啦！快来和ericfeiqing一起，享受快乐足球、快乐游戏！成为传奇足球经理 uuuuu  
享受球球，热爱生活！ ericfeiqing添加了游戏《热血球球2》！你还没有玩热血球球2吗？我刚刚安装热血球球2，快和我一起体验足球场上的激情吧！成为传奇足球经理 uuuuu  
嘿嘿~~从好友那里获取快感~~ 还在从好友那里获取快感吗？还在从好友那里获取快感吗？好吧！请继续…获取快感 uuuuu  
嘿嘿~~从好友那里获取快感~~ 还在从好友那里获取快感吗？还在从好友那里获取快感吗？好吧！请继续…获取快感 uuuuu  
有没有发现我是一个爱心泛滥的人啊？ 要出事啦！爱心泛滥了！朋友一生一起走！爱心值暴涨30点，在我爱心的光环下，球员正拼命的训练呢！一起去散播爱心 uuuuu  
有没有发现我是一个爱心泛滥的人啊？ 要出事啦！爱心泛滥了！朋友一生一起走！爱心值暴涨30点，在我爱心的光环下，球员正拼命的训练呢！一起去散播爱心 uuuuu  
踏上聪明人赢钱的第一步，等着你噢！ 新手引导成功这么经典的牌类游戏我怎么会错过咧！实在是太简单刺激了！ ttttt  ，访问游戏 uuuuu  
爱球球，爱生活！ 热血球球2如同打了兴奋剂一般的情况下，我持续不断的分解掉球员卡牌，完成了分解卡牌的任务。去祝贺 uuuuu  
爱球球，爱生活！ 热血球球2我将友谊第一，比赛第二的原则发挥到极致，不理会好友愿不愿意，完成了好友赛5连胜！去祝贺 uuuuu  
爱球球，爱生活！ 热血球球2在赚取大量金币之后，我毫不犹豫的进行了消费，完成了金币抽卡的任务！去祝贺 uuuuu  
爱球球，爱生活！ 热血球球2我在《热血球球2》中升到了19级！快来跟我一起享受快乐足球吧！去祝贺 uuuuu  
爱球球，爱生活！ 热血球球2我在《热血球球2》中升到了16级！快来跟我一起享受快乐足球吧！去祝贺 uuuuu  
爱球球，爱生活！ 热血球球2我在《热血球球2》中升到了13级！快来跟我一起享受快乐足球吧！去祝贺 uuuuu  
爱球球，爱生活！ 热血球球2如同打了兴奋剂一般，我努力的进行比赛，完成了天梯赛任务。去祝贺 uuuuu  
爱球球，爱生活！ 热血球球2我在《热血球球2》中升到了10级！快来跟我一起享受快乐足球吧！去祝贺 uuuuu  
爱球球，爱生活！ 热血球球2我在《热血球球2》中升到了8级！快来跟我一起享受快乐足球吧！去祝贺 uuuuu  
爱球球，爱生活！ 热血球球2我在《热血球球2》中升到了6级！快来跟我一起享受快乐足球吧！去祝贺 uuuuu  
爱球球，爱生活！ 热血球球2你还没有玩热血球球2吗？我刚刚安装热血球球2，快和我一起体验足球场上的激情吧！加入竞技 uuuuu  
爱球球，爱生活！ 热血球球2我在《热血球球2》中升到了5级！快来跟我一起享受快乐足球吧！去祝贺 uuuuu  
爱球球，爱生活！ 热血球球2我在《热血球球2》中升到了3级！快来跟我一起享受快乐足球吧！去祝贺 uuuuu  
